Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
76,20.930075,4229,2024-01-22 20:42:59,52.291958,3,1
35,20.999844,4230,2024-01-22 15:59:13,52.18662,6,1
10,20.999931,4231,2024-01-22 15:59:34,52.187847,6,1
7,20.9572,4232,2024-01-22 20:42:57,52.1894,6,1
15,20.999039,4233,2024-01-22 19:41:16,52.187637,9,1
17,20.989141,4234,2024-01-22 20:43:01,52.18139,9,1
76,20.937971,4235,2024-01-22 20:42:59,52.275055,10,1
35,21.000156,4236,2024-01-22 19:20:47,52.186398,2,1
18,21.000103,4237,2024-01-22 19:16:14,52.187057,3,1
17,21.000134,4238,2024-01-22 19:18:17,52.186447,12,1
76,20.922935,4239,2024-01-22 20:43:00,52.25958,9,1
76,20.989164,4240,2024-01-22 20:42:59,52.181732,013,1
17,20.949741,4241,2024-01-22 20:42:59,52.340485,3,1
10,21.000048,4242,2024-01-22 18:13:42,52.18752,4,1
9,21.000967,4243,2024-01-22 19:46:16,52.186172,9,1
18,21.00008,4244,2024-01-22 12:37:06,52.18757,10,1
76,20.929071,4245,2024-01-22 20:43:00,52.223423,7,1
10,21.0007,4246,2024-01-22 20:42:59,52.1879,4,1
10,20.999039,4247,2024-01-22 19:41:36,52.187057,5,1
15,21.000195,4248,2024-01-22 20:11:42,52.1864,2,1
31,21.000086,4249,2024-01-22 20:42:59,52.17886,1,1
76,20.93223,4250,2024-01-22 19:08:15,52.300205,015,1
76,20.924007,4251,2024-01-22 20:43:00,52.28134,2,1
76,20.931229,4252,2024-01-22 19:24:50,52.299538,8,1
18,21.002172,4253,2024-01-22 20:42:58,52.186382,2,1
10,21.01905,4254,2024-01-22 20:43:00,52.217808,010,1
18,21.000006,4255,2024-01-22 15:44:47,52.186596,1,1
10,21.01655,4259,2024-01-22 20:43:00,52.16818,3,1
10,21.015917,4260,2024-01-22 20:42:58,52.16815,09,1
76,20.91505,4261,2024-01-22 20:43:02,52.231213,6,1
76,20.931578,4262,2024-01-22 20:42:58,52.298504,1,1
76,20.913069,4263,2024-01-22 20:42:56,52.239876,11,1
31,21.015524,4264,2024-01-22 20:42:59,52.188953,3,1
17,20.9719,4265,2024-01-22 20:43:00,52.2728,22,1
17,20.973206,4266,2024-01-22 20:42:58,52.271866,1,1
76,20.931372,4267,2024-01-22 19:22:53,52.299004,12,1
